Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
296,Kyle Lowry,PG,36,MIA,53,44,31.8,3.6,9,0.401,2,5.8,0.341,1.7,3.3,0.506,0.509,2.2,2.5,0.859,0.8,3.3,4.1,5.1,1.1,0.4,1.9,2.7,11.4,lowryky01
297,Trey Lyles,PF,27,SAC,72,0,16.7,2.5,5.4,0.459,1.2,3.2,0.365,1.3,2.3,0.593,0.566,1.4,1.7,0.815,0.9,3.1,4,0.9,0.4,0.4,0.9,1.3,7.6,lylestr01
298,Théo Maledon,PG,21,CHO,42,5,18.4,2.1,5.4,0.385,0.6,2,0.282,1.5,3.4,0.447,0.438,1.4,1.6,0.851,0.3,2.4,2.7,3.3,0.7,0.3,1.2,1.3,6.1,maledth01
299,Sandro Mamukelashvili,C,23,TOT,40,5,14.6,2,4.8,0.417,0.6,2.2,0.279,1.4,2.7,0.528,0.479,0.9,1.3,0.706,1.5,2.5,4,1.3,0.3,0.3,0.8,1.3,5.5,mamuksa01
299,Sandro Mamukelashvili,C,23,MIL,24,0,9,0.8,2.4,0.328,0.3,1.3,0.219,0.5,1.1,0.462,0.388,0.5,0.8,0.667,0.8,1.6,2.3,0.7,0.2,0.2,0.4,0.8,2.4,mamuksa01
299,Sandro Mamukelashvili,C,23,SAS,16,5,22.8,3.8,8.4,0.455,1.1,3.4,0.315,2.8,5,0.55,0.519,1.5,2.1,0.727,2.6,3.9,6.6,2.3,0.4,0.3,1.4,1.9,10.2,mamuksa01
300,Terance Mann,SG,26,LAC,79,36,23.1,3.4,6.5,0.519,1,2.5,0.393,2.4,4,0.597,0.594,1.2,1.5,0.793,1,2.5,3.5,2.3,0.5,0.3,1,1.8,8.9,mannte01
301,Tre Mann,PG,21,OKC,65,4,17.5,2.9,7.5,0.388,1.2,3.9,0.316,1.7,3.6,0.466,0.47,0.6,0.8,0.74,0.4,1.8,2.2,1.7,0.6,0.2,0.9,1.5,7.6,manntr01
302,Boban Marjanović,C,34,HOU,29,0,5.2,1.2,1.8,0.667,0,0,0,1.2,1.7,0.68,0.667,0.7,0.9,0.769,0.6,1.2,1.8,0.3,0.1,0,0.4,0.3,3,marjabo01
303,Lauri Markkanen,SF,25,UTA,66,66,34.4,8.7,17.3,0.499,3,7.7,0.391,5.6,9.6,0.585,0.586,5.3,6,0.875,2,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6,markkla01
304,Naji Marshall,SF,25,NOP,75,21,23.5,3.2,7.5,0.432,0.9,2.9,0.302,2.4,4.6,0.511,0.489,1.8,2.3,0.786,0.6,3,3.7,2.5,0.7,0.2,1.3,1.5,9.2,marshna01
305,Caleb Martin,PF,27,MIA,68,49,29.6,3.6,7.8,0.466,1.2,3.4,0.362,2.4,4.4,0.545,0.545,1.3,1.6,0.802,1.3,3.6,4.9,1.6,1,0.5,1.1,2.1,9.8,martica02
306,Cody Martin,SF,27,CHO,7,0,19.1,2,5.1,0.389,0.4,2,0.214,1.6,3.1,0.5,0.431,0.6,1,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5,martico01
307,Kenyon Martin Jr.,SF,22,HOU,80,47,27.9,5,8.7,0.57,0.9,2.7,0.318,4.1,6.1,0.682,0.619,1.9,2.7,0.683,1.6,4,5.5,1.5,0.5,0.4,1.1,1.8,12.7,martike04
308,Tyrese Martin,SG,23,ATL,15,0,3.3,0.5,1.1,0.412,0.1,0.3,0.2,0.4,0.8,0.5,0.441,0.1,0.1,1,0.1,0.3,0.4,0.1,0.1,0,0.1,0.1,1.1,martity01
309,Garrison Mathews,SG,26,TOT,53,0,12.5,1.3,3.6,0.36,1.1,3.2,0.349,0.2,0.4,0.45,0.516,0.8,0.9,0.896,0.2,1.1,1.3,0.5,0.5,0.1,0.4,1.1,4.5,mathega01
309,Garrison Mathews,SG,26,HOU,45,0,13.4,1.3,3.8,0.353,1.2,3.4,0.342,0.2,0.3,0.467,0.509,0.9,1,0.911,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,4.8,mathega01
309,Garrison Mathews,SG,26,ATL,8,0,7.4,1,2.4,0.421,0.8,1.8,0.429,0.3,0.6,0.4,0.579,0.3,0.4,0.667,0,1,1,0.3,0.1,0,0.1,0.5,3,mathega01
310,Bennedict Mathurin,SF,20,IND,76,15,28.3,5.3,12.2,0.434,1.3,4,0.32,4,8.2,0.49,0.487,4.7,5.7,0.826,1.1,3,4.1,1.4,0.6,0.2,1.9,2,16.6,mathube01
311,Wesley Matthews,SG,36,MIL,50,0,15.8,1.1,3.1,0.37,0.8,2.4,0.325,0.4,0.7,0.529,0.497,0.4,0.5,0.875,0.7,1.5,2.2,0.6,0.4,0.3,0.3,1.4,3.5,matthwe02
312,Tyrese Maxey,SG,22,PHI,60,41,33.6,7.3,15.2,0.481,2.7,6.2,0.434,4.7,9.1,0.513,0.568,3,3.6,0.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,maxeyty01
313,Skylar Mays,SG,25,POR,3,3,32,6.7,11,0.606,2.7,4.7,0.571,4,6.3,0.632,0.727,1,1,1,0.7,3.7,4.3,7.3,0.7,0,1.3,2.7,17,mayssk01
314,Miles McBride,PG,22,NYK,62,2,11.8,1.2,3.3,0.353,0.6,2.1,0.295,0.5,1.2,0.453,0.446,0.5,0.7,0.667,0.2,0.6,0.8,1.2,0.6,0.1,0.4,0.9,3.4,mcbrimi01
315,CJ McCollum,SG,31,NOP,73,73,35.2,7.8,17.9,0.437,2.8,7.2,0.391,5,10.6,0.468,0.516,2.4,3.1,0.774,0.8,3.6,4.4,5.8,0.9,0.5,2.5,2,20.8,mccolcj01
316,T.J. McConnell,PG,30,IND,75,6,20.3,3.8,6.9,0.543,0.3,0.8,0.441,3.4,6.2,0.556,0.568,0.8,0.9,0.853,0.6,2.5,3.1,5.3,1.1,0.1,1.9,1.4,8.7,mccontj01
317,Jaden McDaniels,SF,22,MIN,77,77,30.9,4.7,9.2,0.515,1.3,3.4,0.392,3.4,5.8,0.588,0.588,1.4,1.9,0.736,1.2,2.7,3.9,1.9,0.9,1,1.4,3.5,12.2,mcdanja02
318,Jalen McDaniels,SF,25,TOT,77,22,23.7,3.4,7.6,0.453,0.9,2.9,0.326,2.5,4.7,0.532,0.515,1.4,1.7,0.833,0.8,3.5,4.3,1.6,1,0.4,1.2,2.6,9.3,mcdanja01
318,Jalen McDaniels,SF,25,CHO,56,21,26.7,3.9,8.8,0.447,1.2,3.6,0.322,2.8,5.2,0.534,0.513,1.6,1.9,0.846,0.8,4,4.8,2,1.2,0.5,1.4,2.8,10.6,mcdanja01
318,Jalen McDaniels,SF,25,PHI,21,1,15.8,2.1,4.3,0.484,0.4,1,0.364,1.7,3.3,0.522,0.527,1,1.3,0.786,0.7,2.2,3,0.6,0.4,0.2,0.5,2.1,5.6,mcdanja01
319,Doug McDermott,SF,31,SAS,64,0,20.5,3.7,8.2,0.457,1.9,4.7,0.413,1.8,3.5,0.516,0.575,0.8,1.1,0.757,0.4,1.8,2.2,1.4,0.2,0.1,0.9,1.8,10.2,mcderdo01
320,JaVale McGee,C,35,DAL,41,7,8.5,1.9,3,0.628,0,0.1,0.25,1.8,2.9,0.641,0.632,0.6,1,0.585,0.7,1.8,2.6,0.3,0.1,0.6,0.9,1.3,4.3,mcgeeja01
321,Bryce McGowens,SG,20,CHO,44,5,16.3,1.5,4,0.386,0.5,1.6,0.338,1,2.4,0.419,0.455,1.1,1.5,0.727,0.4,1.5,1.9,1.1,0.3,0.1,0.9,1,4.7,mcgowbr01
322,Rodney McGruder,SG,31,DET,33,12,15.9,1.9,4.6,0.408,1.2,2.9,0.423,0.6,1.7,0.382,0.543,0.5,0.7,0.818,0.6,1.6,2.2,0.8,0.5,0,0.3,1.2,5.5,mcgruro01
323,Jordan McLaughlin,PG,26,MIN,41,0,15.6,1.4,3.5,0.415,0.5,1.9,0.289,0.9,1.6,0.561,0.493,0.3,0.3,0.786,0.4,1,1.4,3.3,0.8,0.1,0.8,0.6,3.7,mclaujo01
324,De'Anthony Melton,PG,24,PHI,76,57,28,3.6,8.5,0.427,2.1,5.2,0.392,1.6,3.3,0.484,0.548,0.9,1.1,0.793,0.9,3.1,4.1,2.6,1.7,0.5,1.3,2.5,10.2,meltode01
325,Sam Merrill,SG,26,CLE,3,0,3.7,0.3,1.3,0.25,0,1,0,0.3,0.3,1,0.25,0,0,,0,0.3,0.3,0.3,0,0,0,0.7,0.7,merrisa01
326,Chimezie Metu,C,25,SAC,64,0,10.3,1.9,3.2,0.589,0.1,0.6,0.243,1.8,2.7,0.665,0.611,0.7,0.9,0.759,0.7,2.2,3,0.6,0.3,0.3,0.5,1.3,4.6,metuch01
327,Khris Middleton,SF,31,MIL,33,19,24.3,5.4,12.3,0.436,1.5,4.9,0.315,3.8,7.4,0.516,0.499,2.8,3.1,0.902,0.8,3.4,4.2,4.9,0.7,0.2,2.2,2.1,15.1,middlkh01
328,Patty Mills,PG,34,BRK,39,1,13.6,2.1,5.1,0.419,1.2,3.2,0.376,0.9,1.9,0.493,0.538,0.5,0.6,0.913,0.2,0.9,1.1,1.4,0.4,0.1,0.7,0.7,6,millspa02
329,Shake Milton,SG,26,PHI,73,9,20,3,6.3,0.482,0.7,1.9,0.388,2.3,4.4,0.522,0.54,1.3,1.5,0.845,0.5,2,2.5,2.8,0.3,0.2,1.2,1.6,8.1,miltosh01
330,Justin Minaya,SF,23,POR,1,0,17,3,6,0.5,2,5,0.4,1,1,1,0.667,0,0,,2,2,4,2,0,0,1,3,8,minayju01
331,Josh Minott,SF,20,MIN,14,0,6.6,1.3,2.4,0.529,0.1,0.4,0.333,1.1,2,0.571,0.559,0.6,0.6,1,0.4,1.4,1.8,0.3,0.3,0.4,0.2,0.7,3.3,minotjo01
332,Davion Mitchell,PG,24,SAC,79,8,18,2.3,4.9,0.464,0.8,2.4,0.325,1.5,2.5,0.6,0.544,0.3,0.4,0.806,0.2,1.1,1.3,2.3,0.5,0.2,0.8,1.4,5.6,mitchda01
333,Donovan Mitchell,SG,26,CLE,68,68,35.8,10,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,mitchdo01
334,Evan Mobley,PF,21,CLE,78,78,34.7,6.7,12.1,0.555,0.3,1.3,0.216,6.4,10.7,0.597,0.567,2.6,3.9,0.674,2.4,6.7,9.1,2.9,0.8,1.5,1.9,2.8,16.3,mobleev01
335,Isaiah Mobley,PF,23,CLE,11,0,3,0.5,0.9,0.5,0.1,0.3,0.333,0.4,0.6,0.571,0.55,0,0,,0.1,1,1.1,0,0.1,0.1,0,0.2,1,mobleis01
336,Chima Moneke,SF,27,SAC,2,0,4,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,1,0,1,0,1,0.5,0,0,1,1,1,monekch01
337,Malik Monk,SG,24,SAC,76,0,22.4,4.7,10.4,0.449,1.9,5.2,0.361,2.8,5.2,0.537,0.539,2.4,2.7,0.889,0.4,2.3,2.7,3.9,0.6,0.3,1.9,1.6,13.6,monkma01
338,Moses Moody,SG,20,GSW,61,3,12.8,1.6,3.4,0.462,0.7,2.1,0.352,0.9,1.3,0.634,0.569,0.6,0.9,0.692,0.4,1.2,1.6,0.8,0.3,0.1,0.6,0.8,4.5,moodymo01
339,Xavier Moon,SG,28,LAC,3,0,6,0.7,2.7,0.25,0.3,1,0.333,0.3,1.7,0.2,0.313,0,0,,0,1,1,1.7,0,0,0.3,0.3,1.7,moonxa01
340,Wendell Moore Jr.,SG,21,MIN,27,2,5.5,0.6,1.6,0.405,0.1,0.6,0.118,0.6,0.9,0.6,0.429,0.1,0.2,0.8,0.1,0.5,0.6,0.7,0.3,0.2,0.3,0.5,1.5,moorewe01
341,Ja Morant,PG,23,MEM,60,58,32.1,9.4,20.1,0.465,1.5,5,0.308,7.8,15.1,0.517,0.503,6.2,8.2,0.752,1,4.8,5.9,8.1,1.1,0.3,3.4,1.7,26.4,moranja01
342,Marcus Morris,PF,33,LAC,65,65,28.1,4.2,9.9,0.426,1.7,4.7,0.364,2.5,5.2,0.484,0.513,1,1.3,0.782,0.4,3.5,4,1.8,0.6,0.3,0.9,2.1,11.2,morrima03
343,Markieff Morris,PF,33,TOT,33,1,9.7,1.2,2.8,0.413,0.7,1.7,0.411,0.5,1.1,0.417,0.538,0.3,0.3,1,0.4,1.5,1.9,0.8,0.3,0.2,0.5,1.3,3.3,morrima02
343,Markieff Morris,PF,33,BRK,27,1,10.6,1.2,3,0.402,0.7,1.8,0.408,0.5,1.2,0.394,0.524,0.4,0.4,1,0.5,1.7,2.2,0.9,0.3,0.2,0.5,1.2,3.6,morrima02
343,Markieff Morris,PF,33,DAL,6,0,5.8,0.8,1.7,0.5,0.5,1.2,0.429,0.3,0.5,0.667,0.65,0,0,,0,0.5,0.5,0.5,0.2,0,0.7,1.5,2.2,morrima02
